inspect 调查
sketch 草图
laundry 洗衣服
banner 横幅
correlate 有相互关系的
canal 运河
cease 停止
memo 备忘录
warehouse 仓库
breakdown 崩溃
finding 发现
herd 兽群，聚集
vinegar 醋
diameter 直径
radius 半径
deadly 致命的
merge 归并
crab 蟹
hum 嗡嗡
grind 磨咖啡
articulate 发音清晰的
restraint 抑制，克制
tremble 颤抖
offend 冒犯
backward 向后的
infect 传染
spark 火花
vague 模糊的
attendant 服务员，出席者
grim 糟糕的
snack 零食
creep 爬
empirical 经验主义的
dull 无聊的
verse 诗
cautious 谨慎的
erup 爆发
accommodation 住处
intensive 强烈的
comprise 构成
tease 嘲笑
fatigue 疲劳的
explosive 爆炸性的
nominate 指派
decent 下落
precision 精确
affection 慈爱，影响
successor 继承人
parameter 参数
bureaucracy 官僚主义
raid 袭击
anchor 铁锚
reproduce 复制
drought 干旱
grind 磨
confine 边界，限制
orthodox 正（传）统的
uncover 揭露
marble 大理石
stun 震惊
entertain 娱乐
mature 成熟的
spade 铲子
uphold 支持
meantime 同时
loom 若隐若现的
fountain 喷泉
slot 职位
lure 诱饵
scrutiny 监视
medieval 中世纪的
curl 卷
fossil 化石的
exile 流放的
consecutive 连续的 
charm 迷人的
kidney 肾
fatal 致命的
tumble 跌倒
outbreak 爆发
alert 警觉的
shatter 打碎
premium 额外费用
proposition 建议 
orchestra 管弦乐队 
halt 终止
prejudice 偏见
suppress 镇压
worm 蠕虫
authentic 真正的
manuscript 手稿
probability 可能性
breakdown 崩溃
cautious 谨慎的
pledge 宣誓
rehearsal 排练
spectator 观众
sour 酸的
apt 倾向于
undergo 遭受
morality 道德
systematic 有系统的
commerce 商业
reassure 使什么安心
saint 圣徒
cunning 狡猾的
juvenile 年轻的
considerable 相当大的
posture 姿势
predecessor 前辈
